,location,crop,season,indicator,Unit,Date,Value,State,mean
82,Adilabad,Rice,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2011,2.7862423096,Telangana,79.6026315789
83,Adilabad,Rice,Kharif,Yield (Tonnes/Hect.),Tonnes/Hect,2012,2.493531748,Telangana,79.6026315789
84,Adilabad,Rice,Rabi,Area (In Hectare),hectare,1999,12200.0,Telangana,79.6026315789
85,Adilabad,Rice,Rabi,Area (In Hectare),hectare,2000,10980.0,Telangana,79.6026315789
86,Adilabad,Rice,Rabi,Area (In Hectare),hectare,2001,6828.0,Telangana,79.6026315789
87,Adilabad,Rice,Rabi,Area (In Hectare),hectare,2002,9786.0,Telangana,79.6026315789
88,Adilabad,Rice,Rabi,Area (In Hectare),hectare,2003,5137.0,Telangana,79.6026315789
89,Adilabad,Rice,Rabi,Area (In Hectare),hectare,2004,6069.0,Telangana,79.6026315789
90,Adilabad,Rice,Rabi,Area (In Hectare),hectare,2005,3984.0,Telangana,79.6026315789
91,Adilabad,Rice,Rabi,Area (In Hectare),hectare,2006,9466.0,Telangana,79.6026315789
92,Adilabad,Rice,Rabi,Area (In Hectare),hectare,2007,9019.0,Telangana,79.6026315789
93,Adilabad,Rice,Rabi,Area (In Hectare),hectare,2008,12000.0,Telangana,79.6026315789
94,Adilabad,Rice,Rabi,Area (In Hectare),hectare,2009,22788.0,Telangana,79.6026315789
95,Adilabad,Rice,Rabi,Area (In Hectare),hectare,2010,10240.0,Telangana,79.6026315789
96,Adilabad,Rice,Rabi,Area (In Hectare),hectare,2011,27644.0,Telangana,79.6026315789
97,Adilabad,Rice,Rabi,Area (In Hectare),hectare,2012,15489.0,Telangana,79.6026315789
98,Adilabad,Rice,Rabi,Production (In Tonnes),tonnes,1999,33500.0,Telangana,79.6026315789
99,Adilabad,Rice,Rabi,Production (In Tonnes),tonnes,2000,26616.0,Telangana,79.6026315789
100,Adilabad,Rice,Rabi,Production (In Tonnes),tonnes,2001,21023.0,Telangana,79.6026315789
101,Adilabad,Rice,Rabi,Production (In Tonnes),tonnes,2002,23398.0,Telangana,79.6026315789
